Category,Sub-Category,Sales,Profit,Quantity
Furniture,Bookcases,114879.9963,-3472.556,868
Furniture,Chairs,328449.103,26590.1663,2356
Furniture,Furnishings,91705.164,13059.1436,3563
Furniture,Tables,206965.532,-17725.4811,1241
Office Supplies,Appliances,107532.16100000001,18138.005400000002,1729
Office Supplies,Art,27118.792,6527.787,3000
Office Supplies,Binders,203412.733,30221.7633,5974
Office Supplies,Envelopes,16476.402,6964.1767,906
Office Supplies,Fasteners,3024.28,949.5182,914
Office Supplies,Labels,12486.312,5546.254,1400
Office Supplies,Paper,78479.206,34053.5693,5178
Office Supplies,Storage,223843.608,21278.8264,3158
Office Supplies,Supplies,46673.538,-1189.0995,647
Technology,Accessories,167380.318,41936.6357,2976
Technology,Copiers,149528.03,55617.8249,234
Technology,Machines,189238.631,3384.7569,440
Technology,Phones,330007.054,44515.7306,3289
